ID,Sheet,Policy,Text
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,H.       Fair Value Measurements,"Fair value measurement guidance is applied to derivative contracts that are not elected or designated as ""normal purchases or normal sales"" (normal) and to the marketable securities held in trusts. Fair value measurement guidance is also applied to valuations of the investments used to calculate the funded status of pension and PBOP plans and nonrecurring fair value measurements of nonfinancial assets such as goodwill and AROs, and is also used to estimate the fair value of preferred stock and long-term debt.Fair Value Hierarchy: In measuring fair value, NU uses observable market data when available and minimizes the use of unobservable inputs. Inputs used in fair value measurements are categorized into three fair value hierarchy levels for disclosure purposes. The entire fair value measurement is categorized based on the lowest level of input that is significant to the fair value measurement. NU evaluates the classification of assets and liabilities measured at fair value on a quarterly basis, and NU's policy is to recognize transfers between levels of the fair value hierarchy as of the end of the reporting period. The three levels of the fair value hierarchy are described below:Level 1 - Inputs are quoted prices (unadjusted) in active markets for identical assets or liabilities as of the reporting date.  Active markets are those in which transactions for the asset or liability occur in sufficient frequency and volume to provide pricing information on an ongoing basis. Level 2 - Inputs are quoted prices for similar instruments in active markets, quoted prices for identical or similar instruments in markets that are not active, and model-derived valuations in which all significant inputs are observable.Level 3 - Quoted market prices are not available. Fair value is derived from valuation techniques in which one or more significant inputs or assumptions are unobservable. Where possible, valuation techniques incorporate observable market inputs that can be validated to external sources such as industry exchanges, including prices of energy and energy-related products. Determination of Fair Value: The valuation techniques and inputs used in NU's fair value measurements are described in Note 4, ""Derivative Instruments,"" Note 5, ""Marketable Securities,"" Note 6, ""Asset Retirement Obligations,"" Note 9A, ""Employee Benefits – Pension Benefits and Postretirement Benefits Other Than Pensions,"" Note 13, ""Fair Value of Financial Instruments,"" and Note 21, ""Merger of NU and NSTAR,"" to the financial statements."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,I.       Derivative Accounting,"Many of the Regulated companies' contracts for the purchase and sale of energy or energy-related products are derivatives. The accounting treatment for energy contracts entered into varies and depends on the intended use of the particular contract and on whether or not the contract is a derivative. For the Regulated companies, regulatory assets or regulatory liabilities are recorded to offset the fair values of derivative contracts, as contract settlements are recovered from, or refunded to, customers in future rates.The application of derivative accounting is complex and requires management judgment in the following respects: identification of derivatives and embedded derivatives, election and designation of the normal exception, and determination of the fair value of derivative contracts. All of these judgments can have a significant impact on the financial statements. The judgment applied in the election of the normal exception (and resulting accrual accounting) includes the conclusion that it is probable at the inception of the contract and throughout its term that it will result in physical delivery of the underlying product and that the quantities will be used or sold by the business in the normal course of business. If facts and circumstances change and management can no longer support this conclusion, then the normal exception and accrual accounting is terminated, and fair value accounting is applied prospectively. The fair value of derivative contracts is based upon the contract terms and conditions and the underlying market price or fair value per unit. When quantities are not specified in the contract, the Company determines whether the contract has a determinable quantity by using amounts referenced in default provisions and other relevant sections of the contract. The fair value of derivative assets and liabilities with the same counterparty are offset and recorded as a net derivative asset or liability on the balance sheets. Changes in the fair value of derivative contracts are recorded as regulatory assets or liabilities and do not impact net income.For further information regarding derivative contracts, see Note 4, ""Derivative Instruments,"" to the financial statements."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,J.       Equity Method Investments,"Regional Decommissioned Nuclear Companies: CL&P, NSTAR Electric, PSNH and WMECO own common stock in three regional nuclear generation companies (CYAPC, YAEC and MYAPC, collectively referred to as the Yankee Companies), each of which owned a single nuclear generating facility that has been decommissioned. For CL&P, NSTAR Electric, PSNH and WMECO, the respective investments in CYAPC, YAEC and MYAPC are accounted for under the equity method. NU consolidates CYAPC and YAEC because CL&P's, NSTAR Electric's, PSNH's and WMECO's combined ownership interest in each of these entities is greater than 50 percent. Intercompany transactions between CL&P, NSTAR Electric, PSNH and WMECO and the CYAPC and YAEC companies have been eliminated in consolidation of the NU financial statements. Ownership interests in the Yankee Companies as of December 31, 2014 and 2013 were as follows:The total carrying values of CL&P's, NSTAR Electric's, PSNH's and WMECO's ownership interests in CYAPC, YAEC and MYAPC, which are included in Other Long-Term Assets on their respective balance sheets, were as follows: For further information on the Yankee Companies, see Note 11C, ""Commitments and Contingencies - Contractual Obligations - Yankee Companies,"" to the financial statements.Other Investments: As of December 31, 2014 and 2013, NU had an equity ownership interest in an energy investment fund of $17.8 million and $9.8 million, respectively. Equity investments are included in Other Long-Term Assets on the balance sheets and net earnings related to these equity investments are included in Other Income, Net on the statements of income. "
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,K.       Revenues,"Regulated Companies: The Regulated companies' retail revenues are based on rates approved by their respective state regulatory commissions. In general, rates can only be changed through formal proceedings with the state regulatory commissions. The Regulated companies' rates are designed to recover the costs to provide service to their customers, including a return on investment. The Regulated companies also utilize regulatory commission-approved tracking mechanisms to recover certain costs on a fully-reconciling basis. These tracking mechanisms require rates to be changed periodically to ensure recovery of actual costs incurred. WMECO and CL&P (effective December 1, 2014), each have a revenue decoupling mechanism to recover a pre-established level of baseline distribution delivery service revenues per year, independent of actual customer usage. Decoupling mechanisms effectively break the relationship between sales volumes and revenues recognized. A significant portion of the Regulated companies' retail revenues relate to the recovery of costs incurred for the sale of electricity and natural gas purchased on behalf of customers. These energy supply costs are recovered from customers in rates through cost tracking mechanisms. Energy purchases are recorded in Purchased Power, Fuel and Transmission, and the sale of energy associated with these purchases are recorded in Operating Revenues.Regulated Companies' Unbilled Revenues: Because customers are billed throughout the month based on pre-determined cycles rather than on a calendar month basis, an estimate of electricity or natural gas delivered to customers for which the customers have not yet been billed is calculated as of the balance sheet date. Unbilled revenues are included in Operating Revenues on the statements of income and are assets on the balance sheets. Actual amounts billed to customers when meter readings become available may vary from the estimated amount. The Regulated companies estimate unbilled sales monthly using the daily load cycle method. The daily load cycle method allocates billed sales to the current calendar month based on the daily load for each billing cycle. The billed sales are subtracted from total month load, net of delivery losses, to estimate unbilled sales. Unbilled revenues are estimated by first allocating unbilled sales to the respective customer classes, then applying an estimated rate by customer class to those sales. Regulated Companies' Transmission Revenues - Wholesale Rates: Wholesale transmission revenues are recovered through FERC approved formula rates. Wholesale transmission revenues for CL&P, NSTAR Electric, PSNH, and WMECO are collected under the ISO New England Inc. Transmission, Markets and Services Tariff (ISO-NE Tariff). The ISO-NE Tariff includes Regional Network Service (RNS), Schedule 21 - NU rate schedules, which recover the costs of transmission and other transmission-related services for CL&P, PSNH and WMECO, and Schedule 21 - NSTAR rate schedules, which recover costs of transmission and other transmission-related services for NSTAR Electric. The RNS rate, administered by ISO-NE and billed to all New England transmission load, including CL&P, NSTAR Electric, PSNH and WMECO's distribution businesses, is reset on June 1st of each year and recovers the revenue requirements associated with transmission facilities that benefit the entire New England region. Schedule 21 - NU and Schedule 21 - NSTAR rates, administered by NU, recovers the remainder of the transmission revenue requirements. The Schedule 21 - NU rate is reset on January 1st and June 1st of each year, while the Schedule 21 - NSTAR rate is reset on June 1st of each year. The Schedule 21 - NU and Schedule 21 - NSTAR rate calculations recover total transmission revenue requirements net of revenues received from other sources (i.e., RNS, rentals, etc.), thereby ensuring that NU recovers all of CL&P's, NSTAR Electric's, PSNH's and WMECO's regional and local transmission revenue requirements in accordance with the ISO-NE Tariff. RNS, Schedule 21 - NU and Schedule 21 - NSTAR rates provide for the annual reconciliation and recovery or refund of estimated costs to actual costs. The financial impacts of differences between actual and estimated costs are deferred for future recovery from, or refunded to, transmission customers. See Note 11E, ""Commitments and Contingencies – FERC Base ROE Complaints,"" for complaints filed at FERC relating to NU's base ROE.Regulated Companies' Transmission Revenues - Retail Rates: A significant portion of the NU transmission segment revenue comes from ISO-NE charges to the distribution businesses of CL&P, NSTAR Electric, PSNH and WMECO, each of which recovers these costs through rates charged to their retail customers. CL&P, NSTAR Electric, PSNH and WMECO each have a retail transmission cost tracking mechanism as part of their rates, which allows the electric distribution companies to charge their retail customers for transmission costs on a timely basis."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,L.       Operating Expenses,"Costs related to fuel and natural gas included in Purchased Power, Fuel and Transmission on the statements of income were as follows:(1) NSTAR Gas natural gas costs were included in NU beginning April 10, 2012."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,M.       Allowance for Funds Used During Construction,"AFUDC represents the cost of borrowed and equity funds used to finance construction and is included in the cost of the Regulated companies' utility plant. The portion of AFUDC attributable to borrowed funds is recorded as a reduction of Other Interest Expense, and the AFUDC related to equity funds is recorded as Other Income, Net on the statements of income. AFUDC costs are recovered from customers over the service life of the related plant in the form of increased revenue collected as a result of higher depreciation expense.The Regulated companies' average AFUDC rate is based on a FERC-prescribed formula using the cost of a company's short-term financings and capitalization (preferred stock, long-term debt and common equity), as appropriate. The average rate is applied to average eligible CWIP amounts to calculate AFUDC.(1) NSTAR amounts were included in NU beginning April 10, 2012."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,"N.       Other Income, Net","Items included within Other Income, Net on the statements of income primarily consist of investment income/(loss), interest income, AFUDC related to equity funds, and equity in earnings. Investment income/(loss) primarily relates to debt and equity securities held in trust. For further information, see Note 5, ""Marketable Securities,"" to the financial statements. For further information on AFUDC related to equity funds, see Note 1M, ""Summary of Significant Accounting Policies – Allowance for Funds Used During Construction,"" to the financial statements. "
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,O.       Other Taxes,Gross receipts taxes levied by the state of Connecticut are collected by CL&P and Yankee Gas from their respective customers. These gross receipts taxes are shown on a gross basis with collections in Operating Revenues and payments in Taxes Other Than Income Taxes on the statements of income as follows:Certain sales taxes are collected by NU's companies that serve customers in Connecticut and Massachusetts as agents for state and local governments and are recorded on a net basis with no impact on the statements of income. 
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,Cash Paid/(Received) During the Year for:,
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,Non-Cash Investing Activities:,"(1) NSTAR amounts were included in NU beginning April 10, 2012."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,Cash Paid/(Received) During the Year for: ,
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,Non-Cash Investing Activities:,"In 2014, as a result of damages awarded to the Yankee Companies for spent nuclear fuel lawsuits against the DOE described in Note 11C, ""Commitments and Contingencies - Contractual Obligations - Yankee Companies,"" NU received total proceeds of $132.1 million, which were net of $80.6 million in proceeds CYAPC and YAEC returned to non-affiliated member companies. The merger of NU with NSTAR on April 10, 2012 represented a significant non-cash transaction. Refer to Note 21, ""Merger of NU and NSTAR,"" for further information."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,Q.       Related Parties,"NUSCO, NU's service company, provides centralized accounting, administrative, engineering, financial, information technology, legal, operational, planning, purchasing, and other services to NU's companies. The Rocky River Realty Company, Renewable Properties, Inc. and Properties, Inc., three other NU subsidiaries, construct, acquire or lease some of the property and facilities used by NU's companies. As of both December 31, 2014 and 2013, CL&P, PSNH and WMECO had long-term receivables from NUSCO in the amounts of $25 million, $3.8 million and $5.5 million, respectively, which were included in Other Long-Term Assets on the balance sheets. These amounts related to the funding of investments held in trust by NUSCO in connection with certain postretirement benefits for CL&P, PSNH and WMECO employees and have been eliminated in consolidation on the NU financial statements.Included in the CL&P, NSTAR Electric, PSNH and WMECO balance sheets as of December 31, 2014 and 2013 were Accounts Receivable from Affiliated Companies and Accounts Payable to Affiliated Companies relating to transactions between CL&P, NSTAR Electric, PSNH and WMECO and other subsidiaries that are wholly-owned by NU. These amounts have been eliminated in consolidation on the NU financial statements."
13372,SUMMARY_OF_SIGNIFICANT_ACCOUNT,R.       Severance Benefits,"For the years ended December 31, 2014 and 2013, NU recorded severance benefit expenses of $15 million and $9.7 million, respectively, in connection with the partial outsourcing of information technology functions and facilities closures, as well as ongoing post-merger integration. As of December 31, 2014 and 2013, the severance accrual totaled $10.4 million and $14.7 million, respectively, and was included in Other Current Liabilities on the balance sheets."
